Entrez ID,Gene Symbol - First value,T-test P-value,log2(Fold Change)
55737,VPS35,1.40548e-06,0.0339266
55739,CARKD,0.0156546,0.0246428
55787,TXLNG,0.00261585,-0.0224754
55799,CACNA2D3,0.00416011,0.0441643
55802,DCP1A,0.012462,0.0244139
55813,UTP6,0.000229474,0.0315967
55830,GLT8D1,0.00729554,0.0216056
5585,PKN1,0.00732342,-0.0580945
55857,KIZ,0.000111128,0.0342633
55863,TMEM126B,0.00178147,0.0279692
55879,GABRQ,0.00543349,0.0218683
5590,PRKCZ,0.00142909,0.0216491
55911,APOBR,0.00904663,-0.02913
55914,ERBB2IP,0.0460146,-0.0224508
55973,BCAP29,0.0141715,0.0307869
5606,LOC100996792,0.00533932,-0.0233925
56159,TEX11,0.000566349,0.0272751
5636,PRPSAP2,0.00186615,0.0280812
5641,LGMN,0.00166555,0.0213921
5657,PRTN3,0.0458981,-0.0226012
56658,RPP21,0.015288,0.021129
56683,C21orf59,0.00129475,0.0223569
5688,PSMA7,0.00263276,0.0276839
56904,SH3GLB2,0.000204383,-0.0645514
5692,PSMB4,0.00286263,0.020962
56948,SDR39U1,0.0092367,0.0246445
56954,NIT2,0.000157208,0.0397394
56983,POGLUT1,5.50451e-07,0.0435451
56987,BBX,0.00477279,-0.0384264
57003,CCDC47,0.00376744,-0.0453264
57035,LOC101928189,0.015244,0.0311863
5709,PSMD3,0.000234372,-0.0505075
57105,CYSLTR2,0.000861395,-0.0245844
57122,NUP107,0.014245,0.034862
57178,ZMIZ1,0.0434664,-0.0212225
57187,THOC2,5.21909e-05,0.0317744
57228,SMAGP,0.00015675,0.0302388
5724,PTAFR,0.00168054,0.0250275
5732,PTGER2,0.00629894,-0.037955
57369,GJD2,0.0102069,0.0215112
5739,PTGIR,0.00977033,-0.0210082
57396,CLK4,0.0101428,0.0450409
5757,LOC100506248,9.62703e-07,0.0294765
5768,QSOX1,0.0391805,-0.0226197
57680,CHD8,0.0213817,-0.0219942
5775,PTPN4,0.0356381,0.0240488
5777,PTPN6,0.018032,-0.0358897
57799,RAB40C,0.00236781,-0.0350776
57817,HAMP,0.000748563,-0.053077
57820,CCNB1IP1,0.00241287,0.0281018
5806,PTX3,0.00212577,-0.047872
58190,CTDSP1,0.00241353,-0.022889
5836,PYGL,0.00616713,-0.0252061
5837,PYGM,0.00014121,0.0279936
58483,LINC00474,0.000777194,0.0218451
58528,RRAGD,0.00623928,-0.025057
586,BCAT1,0.00145521,0.0272309
5862,RAB2A,4.90335e-09,-0.0385106
5869,RAB5B,0.0269999,-0.0213053
5878,RAB5C,0.0439688,0.0230512
5879,RAC1,0.00111424,0.0232387
5898,RALA,0.00831157,-0.0270602
58986,TMEM8A,0.0199226,-0.0436537
59338,PLEKHA1,0.000711828,0.0312795
5959,BLOC1S1-RDH5,0.0109712,0.0217747
5985,RFC5,0.00656028,-0.0250221
6018,RLF,0.0124552,-0.0310927
6036,RNASE2,0.0154347,-0.0325347
60484,HAPLN2,4.23032e-05,0.0321296
60491,NIF3L1,1.38484e-05,0.036146
60625,DHX35,6.83725e-07,0.0297867
60685,ZFAND3,0.00225611,0.0269292
60686,C14orf93,0.000267377,0.0246974
6102,RP2,0.000193004,-0.0486445
6120,RPE,0.000440095,0.0256426
6123,RPL3L,7.77621e-06,0.0255493
6237,RRAS,0.0295797,-0.0221802
6314,ATXN7,0.0249033,-0.0237515
6337,SCNN1A,0.0118571,-0.024145
63916,ELMO2,0.000383893,-0.0259152
63978,PRDM14,0.0014065,0.0265768
64077,LHPP,0.00525637,0.0313706
64083,GOLPH3,0.000560655,-0.0242365
64092,SAMSN1,0.0180609,-0.0267804
64097,EPB41L4A,0.000350171,0.02222
64174,DPEP2,0.0186323,0.0235447
6418,SET,0.00206429,0.0242934
64180,DPEP3,0.00917016,-0.0211157
6433,SFSWAP,0.00189601,0.0216226
64343,AZI2,0.0403291,-0.0301484
64421,DCLRE1C,0.000371532,0.0367822
64682,ANAPC1,9.77007e-05,0.0293046
64710,NUCKS1,0.0308358,-0.0212322
64763,ZNF574,0.0146966,0.0213224
64764,CREB3L2,0.0325019,-0.0228427
64863,METTL4,3.61806e-08,0.0338521
65010,MIR6824,0.0442144,-0.0208493
6515,SLC2A3,0.00338513,-0.0351709
652,BMP4,0.000587136,0.0250023
6522,SLC4A2,0.0248781,-0.0302096
653238,GTF2H2B,0.000770958,0.0216012
6539,SLC6A12,0.000255287,0.0281421
6540,SLC6A13,0.000286548,0.0273011
6567,SLC16A2,0.00625634,0.0232362
6580,SLC22A1,0.00484995,0.0230694
65979,PHACTR4,0.000975796,0.0344718
65981,CAPRIN2,0.035464,0.0213388
6601,SMARCC2,0.0218392,-0.0216392
6635,SNRPE,0.00230983,-0.0392848
6637,SNRPG,0.00199685,-0.0258488
6646,SOAT1,0.00372266,-0.0424575
6665,SOX15,0.0132753,0.0217765
6692,SPINT1,0.013723,-0.0326094
6694,SPP2,0.00227403,0.0210652
6715,SRD5A1,0.0153662,-0.0240385
6750,SST,0.000344438,0.0244948
6758,SSX3,0.000714075,0.0216869
6789,STK4,0.0105883,-0.0351213
682,BSG,0.0150267,-0.0415518
6820,SULT2B1,0.00742483,0.0229133
6832,SUPV3L1,0.00239312,0.023215
6868,ADAM17,0.00013157,-0.0287918
6948,TCN2,0.00164042,0.0290731
7031,TFF1,0.0162443,-0.023403
7049,TGFBR3,0.00783227,0.0260074
7123,CLEC3B,0.0220653,0.0243631
7124,TNF,0.0326261,-0.0214432
7171,TPM4,0.0115529,-0.0498296
7174,TPP2,0.0141871,0.02583
7257,TSNAX,0.000440774,-0.0396373
7259,TSPYL1,0.00840187,-0.0401126
728392,LOC728392,0.00304661,0.0373342
7290,HIRA,1.20862e-05,-0.08314
729515,TMEM242,0.00227608,0.0236901
7317,UBA1,0.0344589,-0.0282383
7321,UBE2D1,0.0084395,-0.0237123
7324,UBE2E1,6.54397e-05,-0.0261484
7327,UBE2G2,0.000340878,0.0279345
7342,UBP1,0.0499665,-0.0213492
7415,VCP,0.000534499,-0.0214232
7439,BEST1,0.0155927,0.0258043
746,TMEM258,0.000651532,-0.0241635
7471,WNT1,0.000157301,0.0308948
7480,WNT10B,0.00530377,0.0246881
7498,XDH,4.64912e-05,0.0357971
7538,ZFP36,0.00452222,-0.0351232
7545,ZIC1,0.000131033,0.0255487
7553,ZNF7,0.000136424,0.0280282
757,TMEM50B,0.0147082,0.0343836
7574,ZNF26,0.000807921,0.0253107
7582,ZNF33B,0.00069349,0.0259341
7644,ZNF91,0.00132712,0.0442851
7704,ZBTB16,0.00310663,0.0451304
773,CACNA1A,0.00126693,-0.0217379
7737,RNF113A,0.00506669,0.02111
7739,ZNF185,0.016495,0.0281246
7748,ZNF195,0.00022893,0.0324985
7773,ZNF230,0.0118623,0.0266416
7818,DAP3,0.00113369,0.0208258
7832,BTG2,0.0185476,-0.0410026
7850,IL1R2,3.22777e-05,0.0530945
788,SLC25A20,0.0159528,0.0260476
78991,PCYOX1L,0.00114888,0.028589
79016,DDA1,0.0352398,-0.0232069
79039,DDX54,0.0057959,-0.0251246
79066,LOC284009,0.000579551,0.0215279
79089,TMUB2,0.0058826,-0.0224721
79101,TAF1D,0.00330526,0.0267226
79145,CHCHD7,0.0258796,-0.0236858
79174,CRELD2,0.0104099,0.0217628
79444,BIRC7,0.00463681,-0.0348748
79573,TTC13,0.0122272,0.0249068
79595,SAP130,0.000254562,0.030398
79651,RHBDF2,0.00277419,-0.0384271
79668,PARP8,0.01658,0.0313735
79675,FASTKD1,0.0205904,0.0355051
79714,CCDC51,0.00878748,0.0214429
