id,type,UniprotID,Entrez_ID
PTGS1,Gene,,
ADCY6,Gene,O43306,O43306
GNRHR2,Gene,Q96P88,Q96P88
NMUR1,Gene,Q9HB89,Q9HB89
PNOC,Gene,Q13519,Q13519
PROK2,Gene,Q9HC23,Q9HC23
PTPN1,Gene,P18031,P18031
GNG10,Gene,P50151,P50151
GRM5,Gene,P41594,P41594
NPY2R,Gene,P49146,P49146
DGKD,Gene,Q16760,Q16760
P2RY12,Gene,Q9H244,Q9H244
PRKX,Gene,P51817,P51817
PDE1B,Gene,Q01064,Q01064
IRF4,Gene,Q15306,Q15306
TAS2R50,Gene,P59544,P59544
EDN1,Gene,P05305,P05305
GNB4,Gene,Q9HAV0,Q9HAV0
RGS7,Gene,P49802,P49802
HSP90AB1,Gene,P08238,P08238
AREG,Gene,P15514,P15514
EPGN,Gene,Q6UW88,Q6UW88
SP1,Gene,P08047,P08047
TAS2R46,Gene,P59540,P59540
SUMO1,Gene,P63165,P63165
TAS2R19,Gene,P59542,P59542
CX3CR1,Gene,P49238,P49238
TAS2R4,Gene,Q9NYW5,Q9NYW5
RRH,Gene,O14718,O14718
GPSM3,Gene,Q9Y4H4,Q9Y4H4
CXCR1,Gene,P25024,P25024
NPFFR1,Gene,Q9GZQ6,Q9GZQ6
CCR9,Gene,P51686,P51686
INTERFERON GAMMA SIGNALING,pathway,,
FLT3,Gene,,
TAS2R8,Gene,Q9NYW2,Q9NYW2
CHRM2,Gene,P08172,P08172
GRM8,Gene,O00222,O00222
TRIM21,Gene,P19474,P19474
GPR18,Gene,Q14330,Q14330
DRD2,Gene,,
GNG3,Gene,P63215,P63215
TYK2,Gene,,
CNR2,Gene,P34972,P34972
GNAI1,Gene,P63096,P63096
CXCL3,Gene,P19876,P19876
PML,Gene,P29590,P29590
H2BC3,Gene,P33778,P33778
JUND,Gene,P17535,P17535
AGO1,Gene,Q9UL18,Q9UL18
TRPC3,Gene,Q13507,Q13507
ADRA1D,Gene,P25100,P25100
OPN5,Gene,Q6U736,Q6U736
DGKI,Gene,O75912,O75912
KAT2B,Gene,Q92831,Q92831
CYSLTR2,Gene,Q9NS75,Q9NS75
KAT5,Gene,Q92993,Q92993
TRIM14,Gene,Q14142,Q14142
TAS2R9,Gene,Q9NYW1,Q9NYW1
LDHA,Gene,,
ACHE,Gene,,
DAGLA,Gene,Q9Y4D2,Q9Y4D2
TAS2R31,Gene,P59538,P59538
TAS2R42,Gene,Q7RTR8,Q7RTR8
CCL4,Gene,P13236,P13236
PPARG,Gene,,
LTB4R,Gene,Q15722,Q15722
PRKCE,Gene,Q02156,Q02156
SRC,Gene,P12931,P12931
RGS3,Gene,P49796,P49796
RPS6KA1,Gene,Q15418,Q15418
TRIM35,Gene,Q9UPQ4,Q9UPQ4
GNAL,Gene,P38405,P38405
TLE3,Gene,Q04726,Q04726
ATM,Gene,,
GPSM1,Gene,Q86YR5,Q86YR5
HSPB1,Gene,P04792,P04792
NMUR2,Gene,Q9GZQ4,Q9GZQ4
SLC6A4,Gene,,
CYSLTR1,Gene,Q9Y271,Q9Y271
MMP9,Gene,P14780,P14780
CAMK4,Gene,Q16566,Q16566
TGFA,Gene,P01135,P01135
AVP,Gene,P01185,P01185
HLA-DPB1,Gene,P04440,P04440
TRPC7,Gene,Q9HCX4,Q9HCX4
CCL21,Gene,O00585,O00585
RUNX1,Gene,Q01196,Q01196
ADCY7,Gene,P51828,P51828
TAS2R5,Gene,Q9NYW4,Q9NYW4
H2BC15,Gene,Q99877,Q99877
TAS2R40,Gene,P59535,P59535
PTGDR2,Gene,Q9Y5Y4,Q9Y5Y4
MAPK8,Gene,,
PDE4D,Gene,Q08499,Q08499
H2BC11,Gene,P06899,P06899
G ALPHA (Q) SIGNALLING EVENTS,pathway,,
AKT2,Gene,P31751,P31751
CCKBR,Gene,P32239,P32239
KDM1A,Gene,O60341,O60341
SAA1,Gene,P0DJI8,P0DJI8
MMP7,Gene,P09237,P09237
ERBB4,Gene,Q15303-1,Q15303-1
ERBB4,Gene,Q15303-3,Q15303-3
AURKB,Gene,,
CCR6,Gene,P51684,P51684
NTSR1,Gene,P30989,P30989
CX3CL1,Gene,P78423,P78423
FOSB,Gene,P53539,P53539
CXCR6,Gene,O00574,O00574
TAS2R43,Gene,P59537,P59537
ADORA3,Gene,P0DMS8,P0DMS8
FKBP5,Gene,Q13451,Q13451
BCL2,Gene,P10415,P10415
HCRTR1,Gene,O43613,O43613
LTB4R2,Gene,Q9NPC1,Q9NPC1
RET,Gene,,
RXFP4,Gene,Q8TDU9,Q8TDU9
RGS10,Gene,O43665,O43665
GNRH2,Gene,O43555,O43555
SSTR2,Gene,P30874,P30874
PF4,Gene,P02776,P02776
MTNR1B,Gene,P49286,P49286
TAS2R3,Gene,Q9NYW6,Q9NYW6
PLCB2,Gene,Q00722,Q00722
GPR37,Gene,O15354,O15354
POLR2G,Gene,P62487,P62487
GRK5,Gene,P34947,P34947
DYRK1A,Gene,,
GBP5,Gene,Q96PP8,Q96PP8
BDKRB1,Gene,P46663,P46663
S1PR3,Gene,Q99500,Q99500
GRB2,Gene,P62993-1,P62993-1
GAL,Gene,P22466,P22466
TAS2R7,Gene,Q9NYW3,Q9NYW3
CD44,Gene,P16070,P16070
MED1,Gene,Q15648,Q15648
POLR2H,Gene,P52434,P52434
H2BC14,Gene,Q99879,Q99879
ACKR3,Gene,P25106,P25106
HLA-DRA,Gene,P01903,P01903
DGKK,Gene,Q5KSL6,Q5KSL6
DHODH,Gene,,
CYP3A4,Gene,,
UTS2,Gene,O95399,O95399
APLNR,Gene,P35414,P35414
JAK1,Gene,P23458,P23458
POLR2C,Gene,P19387,P19387
CCR4,Gene,P51679,P51679
GNA15,Gene,P30679,P30679
HTR2B,Gene,P41595,P41595
CACNA1G,Gene,,
PPP2R1A,Gene,P30153,P30153
MYC,Gene,P01106,P01106
HCRT,Gene,O43612,O43612
KNG1,Gene,P01042,P01042
GNAQ,Gene,P50148,P50148
KCTD6,Gene,Q8NC69,Q8NC69
RLN3,Gene,Q8WXF3,Q8WXF3
NPY4R,Gene,P50391,P50391
GRM7,Gene,Q14831,Q14831
ADRA2A,Gene,P08913,P08913
SUCNR1,Gene,Q9BXA5,Q9BXA5
KLKB1,Gene,,
P2RY1,Gene,P47900,P47900
ELANE,Gene,,
GALR2,Gene,O43603,O43603
CCL20,Gene,P78556,P78556
H2BC12L,Gene,P57053,P57053
DGKE,Gene,P52429,P52429
CORT,Gene,O00230,O00230
CAMKK2,Gene,Q96RR4,Q96RR4
GSK3B,Gene,,
F2RL1,Gene,P55085,P55085
GRPR,Gene,P30550,P30550
BRAF,Gene,,
RGS18,Gene,Q9NS28,Q9NS28
CIITA,Gene,P33076,P33076
USF2,Gene,Q15853,Q15853
CAMKK1,Gene,Q8N5S9,Q8N5S9
ABHD12,Gene,Q8N2K0,Q8N2K0
PCP2,Gene,Q8IVA1,Q8IVA1
GNG8,Gene,Q9UK08,Q9UK08
CCR10,Gene,P46092,P46092
JAK3,Gene,,
ADCY8,Gene,P40145,P40145
EPHX2,Gene,,
CITED1,Gene,Q99966,Q99966
H2BC4,Gene,P62807,P62807
KDR,Gene,,
RGS5,Gene,O15539,O15539
GABBR2,Gene,O75899,O75899
FGFR1,Gene,,
PPARD,Gene,,
GNAI3,Gene,P08754,P08754
DGKZ,Gene,Q13574,Q13574
HLA-F,Gene,P30511,P30511
GPR39,Gene,O43194,O43194
QRFP,Gene,P83859,P83859
PIK3CB,Gene,,
HLA-C,Gene,P10321,P10321
C3,Gene,P01024,P01024
PENK,Gene,P01210,P01210
STAT1,Gene,P42224-1,P42224-1
H2BC26,Gene,Q8N257,Q8N257
HLA-DRB1,Gene,P01911,P01911
FCGR1A,Gene,P12314,P12314
TAC3,Gene,Q9UHF0,Q9UHF0
PPP2R1B,Gene,P30154,P30154
CCR8,Gene,P51685,P51685
OASL,Gene,Q15646,Q15646
TAS2R10,Gene,Q9NYW0,Q9NYW0
CTSD,Gene,P07339,P07339
CXCR4,Gene,P61073,P61073
INSL5,Gene,Q9Y5Q6,Q9Y5Q6
NCOA2,Gene,Q15596,Q15596
HEBP1,Gene,Q9NRV9,Q9NRV9
AGTR2,Gene,P50052,P50052
NRAS,Gene,P01111,P01111
RGS17,Gene,Q9UGC6,Q9UGC6
PRKCD,Gene,Q05655,Q05655
TAS1R2,Gene,Q8TE23,Q8TE23
RGR,Gene,P47804,P47804
GTF2F2,Gene,P13984,P13984
TRIO,Gene,O75962,O75962
PIAS1,Gene,O75925,O75925
IDH1,Gene,,
PRKACG,Gene,P22612,P22612
PRKCQ,Gene,Q04759,Q04759
FFAR3,Gene,O14843,O14843
XCR1,Gene,P46094,P46094
MT-RNR2,Gene,Q8IVG9,Q8IVG9
GNRHR,Gene,P30968,P30968
SST,Gene,P61278,P61278
IDO1,Gene,,
AR,Gene,,
NPY,Gene,P01303,P01303
PRKAR1B,Gene,P31321,P31321
GNA14,Gene,O95837,O95837
F2RL2,Gene,O00254,O00254
GNGT1,Gene,P63211,P63211
GNB1,Gene,P62873,P62873
ESR2,Gene,Q92731,Q92731
NMBR,Gene,P28336,P28336
PPP2CA,Gene,P67775,P67775
POMC,Gene,P01189,P01189
PLA2G4A,Gene,P47712,P47712
P2RY14,Gene,Q15391,Q15391
CXCL6,Gene,P80162,P80162
FKBP4,Gene,Q02790,Q02790
CCR5,Gene,P51681,P51681
QRFPR,Gene,Q96P65,Q96P65
F2,Gene,P00734,P00734
GPRC6A,Gene,Q5T6X5,Q5T6X5
PRMT1,Gene,Q99873,Q99873
PPARA,Gene,,
KLK1,Gene,,
KDM4B,Gene,O94953,O94953
CAMK2B,Gene,Q13554,Q13554
IRF6,Gene,O14896,O14896
SOCS3,Gene,O14543,O14543
FCGR1BP,Gene,Q92637,Q92637
CDKN1B,Gene,P46527,P46527
TRHR,Gene,P34981,P34981
HTR2A,Gene,P28223,P28223
TRPC6,Gene,Q9Y210,Q9Y210
PPP3CA,Gene,Q08209,Q08209
G ALPHA (I) SIGNALLING EVENTS,pathway,,
