MoleculeType	Identifier	MoleculeName	
Proteins	P51452	UniProt:P51452 DUSP3	
Proteins	Q16828	UniProt:Q16828 DUSP6	
Proteins	Q16829	UniProt:Q16829 DUSP7	
Proteins	Q8IV63	UniProt:Q8IV63 VRK3	
Proteins	Q16539	UniProt:Q16539 MAPK14	
Proteins	Q15759	UniProt:Q15759 MAPK11	
Proteins	P16220-1	UniProt:P16220-1 CREB1	
Proteins	P18846	UniProt:P18846 ATF1	
Proteins	P49137	UniProt:P49137 MAPKAPK2	
Proteins	Q99081	UniProt:Q99081 TCF12	
Proteins	P50553	UniProt:P50553 ASCL1	
Proteins	P15336	UniProt:P15336 ATF2	
Proteins	Q09472	UniProt:Q09472 EP300	
Proteins	P11831	UniProt:P11831 SRF	
Proteins	Q15742	UniProt:Q15742 NAB2	
Proteins	P18146	UniProt:P18146 EGR1	
Proteins	Q15078	UniProt:Q15078 CDK5R1	
Proteins	Q05215	UniProt:Q05215 EGR4	
Proteins	P11161	UniProt:P11161 EGR2	
Proteins	Q14839	UniProt:Q14839 CHD4	
Proteins	Q13506	UniProt:Q13506 NAB1	
Proteins	Q14814	UniProt:Q14814 MEF2D	
Proteins	P55042	UniProt:P55042 RRAD	
Proteins	Q13127	UniProt:Q13127 REST	
Proteins	Q99963	UniProt:Q99963 SH3GL3	
Proteins	P50570	UniProt:P50570 DNM2	
Proteins	Q7LC44	UniProt:Q7LC44 ARC	
Proteins	P17752	UniProt:P17752 TPH1	
Proteins	P47928	UniProt:P47928 ID4	
Proteins	Q02363	UniProt:Q02363 ID2	
Proteins	Q00535	UniProt:Q00535 CDK5	
Proteins	Q13319	UniProt:Q13319 CDK5R2	
Proteins	O15240	UniProt:O15240 VGF	
Proteins	P13726	UniProt:P13726 F3	
Proteins	Q06889	UniProt:Q06889 EGR3	
Proteins	P15407	UniProt:P15407 FOSL1	
Proteins	P17275	UniProt:P17275 JUNB	
Proteins	P53539	UniProt:P53539 FOSB	
Proteins	P17535	UniProt:P17535 JUND	
Proteins	P01100	UniProt:P01100 FOS	
Proteins	P12980	UniProt:P12980 LYL1	
Proteins	Q96RU8	UniProt:Q96RU8 TRIB1	
Proteins	O00141	UniProt:O00141 SGK1	
Proteins	Q02535	UniProt:Q02535 ID3	
Proteins	P41134	UniProt:P41134 ID1	
Proteins	P98077	UniProt:P98077 SHC2	
Proteins	P29353	UniProt:P29353 SHC1	
Proteins	Q92529	UniProt:Q92529 SHC3	
Proteins	Q12967	UniProt:Q12967 RALGDS	
Proteins	P11233	UniProt:P11233 RALA	
Proteins	P11234	UniProt:P11234 RALB	
Proteins	P53778	UniProt:P53778 MAPK12	
Proteins	O15264	UniProt:O15264 MAPK13	
Proteins	Q16644	UniProt:Q16644 MAPKAPK3	
Proteins	P31946	UniProt:P31946 YWHAB	
Proteins	P62834	UniProt:P62834 RAP1A	
Proteins	Q02750	UniProt:Q02750 MAP2K1	
Proteins	P36507	UniProt:P36507 MAP2K2	
Proteins	P46109	UniProt:P46109 CRKL	
Proteins	P04629-1	UniProt:P04629-1 NTRK1	
Proteins	Q13905	UniProt:Q13905 RAPGEF1	
Proteins	P46108	UniProt:P46108 CRK	
Proteins	Q9ULH0	UniProt:Q9ULH0 KIDINS220	
Proteins	Q99578	UniProt:Q99578 RIT2	
Proteins	Q92963	UniProt:Q92963 RIT1	
Proteins	P41586	UniProt:P41586 ADCYAP1R1	
Proteins	Q16620	UniProt:Q16620 NTRK2	
Proteins	P18509	UniProt:P18509 ADCYAP1	
Proteins	P29274	UniProt:P29274 ADORA2A	
Proteins	Q00610	UniProt:Q00610 CLTC	
Proteins	P09496	UniProt:P09496 CLTA	
Proteins	O95782	UniProt:O95782 AP2A1	
Proteins	O94973	UniProt:O94973 AP2A2	
Proteins	Q96CW1	UniProt:Q96CW1 AP2M1	
Proteins	P53680	UniProt:P53680 AP2S1	
Proteins	P63010	UniProt:P63010 AP2B1	
Proteins	O96015	UniProt:O96015 DNAL4	
Proteins	Q99962	UniProt:Q99962 SH3GL2	
Proteins	Q05193	UniProt:Q05193 DNM1	
Proteins	Q9UQ16	UniProt:Q9UQ16 DNM3	
Proteins	P09958	UniProt:P09958 FURIN	
Proteins	P29122	UniProt:P29122 PCSK6	
Proteins	Q92824	UniProt:Q92824 PCSK5	
Proteins	P23560	UniProt:P23560 BDNF	
Proteins	P34130	UniProt:P34130 NTF4	
Proteins	Q13009	UniProt:Q13009 TIAM1	
Proteins	P63000	UniProt:P63000 RAC1	
Proteins	P06241-1	UniProt:P06241-1 FYN	
Proteins	Q13224	UniProt:Q13224 GRIN2B	
Proteins	P12931	UniProt:P12931 SRC	
Proteins	Q8IZD9	UniProt:Q8IZD9 DOCK3	
Proteins	P20783	UniProt:P20783 NTF3	
Proteins	Q16288	UniProt:Q16288 NTRK3	
Proteins	Q8WX92	UniProt:Q8WX92 NELFB	
Proteins	Q07812	UniProt:Q07812 BAX	
Proteins	Q13332	UniProt:Q13332 PTPRS	
Proteins	Q16827	UniProt:Q16827 PTPRO	
Proteins	Q15303-2	UniProt:Q15303-2 ERBB4	
Proteins	O14511	UniProt:O14511 NRG2	
Proteins	P56975	UniProt:P56975 NRG3	
Proteins	Q8WWG1	UniProt:Q8WWG1 NRG4	
Proteins	Q02297	UniProt:Q02297 NRG1	
Proteins	Q99075	UniProt:Q99075 HBEGF	
Proteins	O14944	UniProt:O14944 EREG	
Proteins	P35070	UniProt:P35070 BTC	
Proteins	Q15303-1	UniProt:Q15303-1 ERBB4	
Proteins	Q15303-3	UniProt:Q15303-3 ERBB4	
Proteins	P14867	UniProt:P14867 GABRA1	
Proteins	Q99928	UniProt:Q99928 GABRG3	
Proteins	P18507	UniProt:P18507 GABRG2	
Proteins	P28472	UniProt:P28472 GABRB3	
Proteins	P18505	UniProt:P18505 GABRB1	
Proteins	P47870	UniProt:P47870 GABRB2	
Proteins	Q9UN88	UniProt:Q9UN88 GABRQ	
Proteins	Q96J02	UniProt:Q96J02 ITCH	
Proteins	Q9H0M0	UniProt:Q9H0M0 WWP1	
