MoleculeType	Identifier	MoleculeName	
Proteins	P14735	UniProt:P14735 IDE	
Proteins	P10586	UniProt:P10586 PTPRF	
Proteins	P07947	UniProt:P07947 YES1	
Proteins	P04626	UniProt:P04626 ERBB2	
Proteins	Q13882	UniProt:Q13882 PTK6	
Proteins	Q9Y316	UniProt:Q9Y316 MEMO1	
Proteins	O60610	UniProt:O60610 DIAPH1	
Proteins	Q16543	UniProt:Q16543 CDC37	
Proteins	Q96RT1	UniProt:Q96RT1 ERBIN	
Proteins	Q9UNE7	UniProt:Q9UNE7 STUB1	
Proteins	Q93034	UniProt:Q93034 CUL5	
Proteins	P42679	UniProt:P42679 MATK	
Proteins	Q9H4P4	UniProt:Q9H4P4 RNF41	
Proteins	Q99952	UniProt:Q99952 PTPN18	
Proteins	Q02156	UniProt:Q02156 PRKCE	
Proteins	P06239	UniProt:P06239 LCK	
Proteins	P07948	UniProt:P07948 LYN	
Proteins	P10721	UniProt:P10721 KIT	
Proteins	P21583-1	UniProt:P21583-1 KITLG	
Proteins	Q92569	UniProt:Q92569 PIK3R3	
Proteins	O60674	UniProt:O60674 JAK2	
Proteins	P42224-1	UniProt:P42224-1 STAT1	
Proteins	Q92729	UniProt:Q92729 PTPRU	
Proteins	P16591	UniProt:P16591 FER	
Proteins	P42680	UniProt:P42680 TEC	
Proteins	O14757	UniProt:O14757 CHEK1	
Proteins	P07332	UniProt:P07332 FES	
Proteins	P14780	UniProt:P14780 MMP9	
Proteins	P23946	UniProt:P23946 CMA1	
Proteins	O75791	UniProt:O75791 GRAP2	
Proteins	Q13588	UniProt:Q13588 GRAP	
Proteins	O14492	UniProt:O14492 SH2B2	
Proteins	O15524	UniProt:O15524 SOCS1	
Proteins	Q9UQQ2	UniProt:Q9UQQ2 SH2B3	
Proteins	O14544	UniProt:O14544 SOCS6	
