MoleculeType	Identifier	MoleculeName	
Proteins	P04908	UniProt:P04908 H2AC4	
Proteins	Q6FI13	UniProt:Q6FI13 H2AC18	
Proteins	Q99878	UniProt:Q99878 H2AC14	
Proteins	P23771	UniProt:P23771 GATA3	
Proteins	P14859	UniProt:P14859 POU2F1	
Proteins	P22415	UniProt:P22415 USF1	
Proteins	Q15853	UniProt:Q15853 USF2	
Proteins	P08047	UniProt:P08047 SP1	
Proteins	Q15788	UniProt:Q15788 NCOA1	
Proteins	Q15596	UniProt:Q15596 NCOA2	
Proteins	Q9Y6Q9	UniProt:Q9Y6Q9 NCOA3	
Proteins	Q15648	UniProt:Q15648 MED1	
Proteins	O75362	UniProt:O75362 ZNF217	
Proteins	O00482	UniProt:O00482 NR5A2	
Proteins	O15169	UniProt:O15169 AXIN1	
Proteins	Q13951	UniProt:Q13951 CBFB	
Proteins	Q01196	UniProt:Q01196 RUNX1	
Proteins	O94953	UniProt:O94953 KDM4B	
Proteins	Q9UL18	UniProt:Q9UL18 AGO1	
Proteins	Q9HCK5	UniProt:Q9HCK5 AGO4	
Proteins	Q9H9G7	UniProt:Q9H9G7 AGO3	
Proteins	Q8NDV7	UniProt:Q8NDV7 TNRC6A	
Proteins	Q9UPQ9	UniProt:Q9UPQ9 TNRC6B	
Proteins	Q9HCJ0	UniProt:Q9HCJ0 TNRC6C	
Proteins	Q9HCE1	UniProt:Q9HCE1 MOV10	
Proteins	Q9UKV8	UniProt:Q9UKV8 AGO2	
Proteins	P48061	UniProt:P48061 CXCL12	
Proteins	P48552	UniProt:P48552 NRIP1	
Proteins	Q04726	UniProt:Q04726 TLE3	
Proteins	Q7LFL8	UniProt:Q7LFL8 CXXC5	
Proteins	Q14678	UniProt:Q14678 KANK1	
Proteins	P19388	UniProt:P19388 POLR2E	
Proteins	P62875	UniProt:P62875 POLR2L	
Proteins	P61218	UniProt:P61218 POLR2F	
Proteins	P52434	UniProt:P52434 POLR2H	
